Slang,Example,Informal_Text_Without_Slang
finna,"I'm finna snag some coffee before lecture, fr.",I'm just going to grab some coffee before class.
chillin,"Chillin' with my crew at the park today, no cap.",I'm just hanging out with my friends at the park today.
down,"Yo, you down to chill tomorrow?","Hey, are you free to hang out tomorrow?"
finna,I'm finna chill at my place and binge some shows tonight.,I'm just going to relax at home and watch some TV tonight.
slid,"Gonna slide to the store to grab some snacks, no cap.",I'm just heading to the store to buy some snacks.
tryna,"Yo, you tryna chill later?","Hey, do you want to hang out later?"
all set,"Yo, just wrapped my homework and I'm all set to chill.","Hey, I just finished my homework and I'm ready to hang out."
fresh,"Yo, did you catch that fresh flick yesterday night?","Hey, did you see the new movie last night?"
drained,I’m so drained after a long grind today.,I’m really tired after a long day at work.
drained,I'm totally drained after a long day at the grind.,I'm just really tired after a long day at work.
vibing,"I'm just vibing out tired after a whole day, no cap.",I'm just honestly tired after a long day.
chillin',I'm just chillin' with my crew this weekend.,I'm just going to hang out with my friends this weekend.
"chillin', vibing",I'm just chillin' at home and vibing with some Netflix.,I'm just going to relax at home and watch some TV.
wanna,"Yo, wanna catch a coffee later?","Hey, do you want to grab a coffee later?"
hyped,I'm so hyped to chill with my peeps tonight!,I'm really excited about hanging out with my friends tonight.
vibing,I'm just vibing with my squad at the park today.,I'm just going to hang out with my friends at the park today.
tryna,"Yo, ya tryna snag some coffee later?","Hey, do you want to go grab some coffee later?"
drained,I'm hella drained 'cause I pulled an all-nighter.,I'm really tired after studying all night.
"chillin, crew, grub",I'm chillin' with my crew for some grub later.,I'm going to grab some lunch with my friends later.
vibing,"Yo, just crushed my homework and I'm vibing pretty hard.","Hey, I just finished my homework and I'm feeling pretty good."
vibe,"Yo, you down to vibe tomorrow?","Hey, do you want to hang out tomorrow?"
chill,"Yo, you free to chill today?","Hey, are you free to hang out today?"
drained,"I'm so drained, I gotta chill for a sec.",I'm just really tired and need to rest for a bit.
"chilling, vids","I'm just vibing at home, binge-watching some vids.",I'm just chilling at home and watching some videos.
hit,"Yo, wanna hit up some pizza tonight?","Hey, do you want to go out for pizza tonight?"
"chillin, flicks","Chillin' at my crib, vibing with some flicks.",I'm just relaxing at home and watching some movies.
"chillin', no cap","I'm just chillin' at home, binge-watching vids, no cap.",I'm just going to relax at home and watch some videos.
down,"Yo, you down to chill today?","Hey, are you free to hang out this afternoon?"
"drained, chill, vibe","I'm so drained today, just tryna chill and vibe.",I'm really tired today and just want to relax.
"drained, veg","I'm straight-up drained today, just tryna Netflix and veg at home, no cap.",I'm feeling really tired today and just want to chill at home.
"vibin', chillin'","I'm just vibin' here, chillin’ with my tunes.","I'm just sitting here, relaxing and listening to some music."
squad,"I'm chugging a latte with my squad later, no cap.",I'm grabbing a coffee with my friends this afternoon.
vibe,"Yo, let's vibe at the mall later!",Let's hang out at the mall this afternoon.
"vibe, flick","Yo, wanna vibe later and catch a flick?","Hey, do you want to hang out later to watch a movie?"
drained,"I'm totally drained today, no cap.",I'm just feeling really tired today.
flick,"Yo, wanna grab a quick latte before the flick?","Hey, do you want to grab a quick coffee before the movie?"
lowkey,I'm lowkey exhausted today 'cause I slept like trash.,I'm just really tired today because I didn't sleep well.
dropped,"Yo, did you peep the new flick that just dropped?",Did you see the new movie that just came out?
chill,"Yo, wanna chill after class?","Hey, do you want to hang out after school?"
hyped,I'm so hyped for the concert tonight!,I'm really excited to go to the concert tonight.
"vibe, flicks",I'm just gon' vibe at my place and binge some flicks tonight.,I'm just going to chill at home and watch some movies tonight.
vibing,"I'm just vibing at home, binge-watching some shows.",I'm just going to chill at home and watch some shows.
hyped,I'm so hyped for the party tonight!,I'm really excited for the party tonight.
hyped,I'm soooo hyped to hang with my squad tonight!,I'm really excited to chill with my friends tonight.
snack,"Yo, wanna catch a snack later?","Hey, do you want to grab something to eat later?"
peep,"Yo, did you peep your homework yet?","Hey, did you finish your homework?"
vibing,"Just vibing, waitin' on my homie to pull up so we can hit the cafe.",I'm just waiting for my friend to arrive so we can go to the cafe.
"imma, fr","I'mma hit up my friends for some grub later, fr.",I'm going to grab some food with my friends later.
"vibing, vids",I'm just vibing at home and streaming some vids.,I'm just relaxing at home and watching some videos.
vibing,"Yo, you vibing this arvo to chill?","Hey, are you free this afternoon to hang out?"
finna,I'm finna slurp some coffee with my crew today.,I'm going to grab some coffee with my friends today.
caught,"Yo, did you catch that new flick last night?","Hey, did you see that new movie last night?"
dead (tired),I'm dead tired 'cause I was up all night scrolling.,I'm really tired because I stayed up too late last night.
"OOTD, vibing, no cap","OOTD, just vibing with the crew today, no cap.",I'm just planning to hang out with friends this afternoon.
finna,I'm finna sip some coffee before I dip to class.,I'm going to grab some coffee before I head to class.
chillin,"I'm just chillin' at home tonight, no cap.",I'm just going to relax at home tonight.
drained,I'm so drained today 'cause I barely slept last night.,I'm just really tired today because I didn't sleep well last night.
"fresh, buzzin","Yo, did you peep that fresh flick everyone’s buzzin' about?","Hey, did you see the new movie everyone’s talking about?"
"drained, chilling, vibing","I'm hella drained today, so I'm just gonna chill at home and vibing.","I'm really tired today, so I think I'll just stay in and relax."
hyped,I'm super hyped to chill with my squad tonight!,I'm really excited to hang out with my friends tonight.
chillin,"I'm just chillin' at home today, no cap.",I'm just going to stay home and relax today.
drained,I'm totally drained today 'cause I slept like zero hours.,I'm really tired today because I didn't get enough sleep.
"beat, chill",I'm hella beat today and just wanna chill at home.,I'm just really tired today and want to stay home.
"wiped, vibing","I'm super wiped today, so I'm just vibing at home and chilling.","I'm really tired today, so I think I'll just stay home and relax."
snag,I'm about to snag some coffee with my squad later.,I'm going to grab some coffee with my friends later.
chill,"Chillin' with my crew at the park after class, no cap.",I'm just hanging out with my friends at the park after school.
finna,"I was finna dip, then I remembered I left my phone chillin' inside.",I was just about to leave the house when I remembered I left my phone inside.
vibing,"I’m vibing with my crew after school, fr.",I really like hanging out with my friends after school.
vibin',"I'm just vibin' at home, binge-watching some shows.",I'm just chilling at home and watching some shows.
chill,"Yo, saw that new chill spot pop up downtown yesterday!",I noticed that the new cafe opened downtown yesterday.
deadtired grindin,"I'm legit dead tired after grindin' all day, fr.",I'm honestly really tired after working all day.
drained,"I'm super drained today, so I'm just gonna chill at home.","I'm really tired today, so I think I'll just relax at home."
finna,"I'm finna hit up my homie for some coffee later, fr fr.",I'm going to grab some coffee with my friend later.
vibe,"Yo, just knocked out my homework and I'm all set to vibe.","Hey, I just finished my homework and I'm ready to chill."
drained,I'm so drained after this long day at the grind.,I'm really tired after the long day at work.
finna,I'm finna sip some java before I dip to work.,I'm just going to grab some coffee before heading to work.
gonna,"Gonna hit up a quick coffee run before work, fr.",I'm just going to grab a quick coffee before work.
kick,"Yo, wanna kick it today?","Hey, do you want to hang out this afternoon?"
"drained, chillin', vibin'","I'm mad drained today, so I'm just chillin' at home and vibin'.","I'm just really tired today, so I think I'll stay home and relax."
peep,"Yo, did you peep the new flick everyone's hyped about?","Hey, did you see the new movie everyone is talking about?"
"vibe, lit",I'm just gonna vibe at home and binge some shows tonight. They’re gonna be lit!,I'm just going to chill at home and watch some TV tonight.
down,"Yo, you down to chill tonight?","Hey, are you free to hang out tonight?"
snag,I'm about to snag some coffee before I dip to class.,I'm going to grab some coffee before heading to class.
drained,"I'm straight up drained after a crazy long day at work, no cap.",I'm just so tired after a long day at work.
crib (slang for home),"Yo, I totally left my homework at the crib today.","Hey, I think I forgot my homework at home today."
wiped,I'm kinda wiped after a long day at the grind.,I'm just feeling a little tired after a long day at work.
vibing,"I'm just gonna vibing at home and binge some Netflix, no cap.",I'm just going to chill at home and watch some Netflix.
tiered,I'm mad tired 'cause I was up all night binge-watching vids.,I'm really tired because I stayed up late watching videos.
down,"Yo, you down to hit up some dinner tonight?","Hey, do you want to grab dinner tonight?"
"chill, java","Yo, you tryna chill later and get some java?","Hey, do you want to hang out later and grab some coffee?"
peep,"Yo, did you peep that new flick everyone's hyped about?","Hey, did you see that new movie everyone's talking about?"
slide,"Yo, let's slide to the café later and vibe.zz","Hey, let's meet up at the cafe later and catch up."
vibe,I’m just gonna vibe with my friends later.,I'm just going to hang out with my friends this afternoon.
hyped,"I'm hyped to chill with my crew this weekend, fr fr!",I'm really excited about hanging out with my friends this weekend.
chilled,I'm completely 🥱 after grinding all day.,I'm really tired after studying all day.
"drained, chill, vibe","Yo, I'm hella drained today, so I'm just gonna chill at home and vibe.","Hey, I'm really tired today, so I think I'll just stay home and relax."
vibing,"Yo, did you catch that new flick everyone’s vibing over?","Hey, did you see that new movie everyone is talking about?"
"tired, bored",I'm mad tired today and vibing in boredom.,I'm just really tired today and feeling a bit bored.
fresh,"Yo, did you catch that fresh flick yesterday?","Hey, did you see that new movie yesterday?"
tryna,Lowkey tryna snag some coffee before I dip.,I'm thinking about grabbing some coffee before heading out.
down,"Yo, justwrapped my homework and I'm totally down to kick it with the squad.","Hey, I just finished my homework and I'm ready to hang out with friends."
"gon, flicks",I'm just gon' kick it at home and binge some flicks tonight.,I’m just going to chill at home and watch some movies tonight.
down,"Yo, you down to chill this weekend?","Hey, are you free to hang out this weekend?"
drained,I'm mad drained after school today.,I'm really tired after school today.
"vibe, flicks",I'm just gonna vibe at home and binge some flicks today.,I'm just going to chill at home and watch some movies today.
chillin,"Just chillin' at home tonight, no cap.",I'm just relaxing at home tonight.
"beat, grind",I'm super beat after grindin' all day.,I'm really tired after work today.
chill,"Yo, are you down to chill after class?","Hey, are you free to hang out after school?"
"snag, bounce",I'm just gonna snag some coffee before I bounce to class.,I'm just going to grab some coffee before I head to class.
vibe,"Yo, wanna vibe at the mall later?","Hey, do you want to hang out at the mall this afternoon?"
"finna, bounce",I'm finna snag some coffee before bouncing to class.,I'm just going to grab some coffee before heading to class.
hit,"Yo, wanna hit up lunch later?","Hey, do you want to grab lunch later?"
"mad, cool",That flick was mad funny and cool fr!,That movie was really interesting and funny.
"chill, vibe",I'm just tryna chill and vibe out this weekend.,I'm just trying to relax and have a good time this weekend.
"hitting, crew","Yo, I'm hitting up the café with my crew later, fr fr.",I'm going to grab some coffee with my friends this afternoon.
down,"Yo, you down to snag some ice cream later?","Hey, do you want to grab some ice cream later?"
drained,I'm hella drained after running all those errands today.,I'm really tired after those long errands today.
"bossed, vibing",I just bossed my homework and I’m vibing with it.,I just finished my homework and I’m feeling pretty good about it.
vibing,"Yo, just knocked out my homework and I’m vibing so hard right now!","Hey, I just finished my homework and I feel so relieved."
bounce,"Yo, I gotta bounce early today 'cause I got an appointment.","Hey, I’ve got to leave early today because I have an appointment."
fire,"Yo, that new song you sent is fire, I’m obsessed!","Wow, I really like that new song you recommended."
hyped,I'm totally hyped to hit up the concert tonight! 🔥,I'm really excited to go to the concert tonight!
chill,I'm down to sip on some coffee after work to chill.,I'm going to grab some coffee after work to relax.
drained,I'm hella drained after pulling an all-nighter.,I'm so tired after studying all night.
"chilling, binging","Hey, I’m just vibing at home and binging some Netflix.","Hey, I'm just chilling at home and watching some Netflix."
"slide, peeps",I'm gonna slide to the mall to chill with my peeps.,I'm heading to the mall to hang out with my friends.
"dead (tired), hit (hitting)","I'm dead tired after hitin' the books all day, just tryna chill now.","I'm really tired after studying all day, I just want to relax now."
"dead, all-nighter",I'm super dead today 'cause I pulled an all-nighter binge-watching vids.,I'm really tired today because I stayed up late watching videos.
chillin',"Just vibing at home, Netflix and chillin' all day. ",I'm just chilling at home and watching some movies.
"guiding, hitting","Yo, I'm just guding some coffee and then hitting up the mall, fr fr.",I'm just going to grab some coffee and then head to the mall.
vibe,"Yo, just wrapped my homework and I'm about to vibe for a sec.","Hey, I just finished my homework and I'm going to chill for a bit."
"dead, fr","I'm dead tired today and not tryna do anything, fr.",I'm just really tired today and I don't feel like doing anything.
"drained, grinding","I'm mad drained after grinding all day, just tryna chill now.","I'm really tired after working all day, I just want to relax now."
vibing,"I'm just vibing at home this weekend, no cap.",I'm just going to relax at home this weekend.
finna,"Chill, I'm just finna get some coffee and then slide to work.",I'm just going to grab some coffee and then head to work.
"tired, chill",I'm dead tired and just wanna chill at home tonight.,I'm just tired and want to relax at home tonight.
"drained, chillin', vibe","I'm lowkey drained today, so I’m just chillin' at home to vibe.","I'm feeling pretty tired today, so I think I'll just stay home and relax."
dip,"Gonna get some coffee before I dip to work, no cap.",I'm going to grab some coffee before heading to work.
finna,"I'm finna chill with my squad later, no cap.",I'm going to hang out with my friends this afternoon.
tryna,"I'm just tryna wrap up my homework before dinner, no cap.",I'm just trying to finish my homework before dinner.
"vibe, crank",I'm just gonna vibe at home and crank some tunes.,I'm just going to chill at home and listen to some music.
lowkey,Just wrapped my homework and I'm lowkey drained rn.,I just finished my homework and I'm feeling pretty tired.
tryna,"I'm just tryna chill at home and stream some flicks tonight, you feel me?",I'm just going to relax at home and watch some movies tonight.
holler,"Yo, saw ur msg, I’ll holler back later.","Hey, I saw your message and I’ll reply later."
"vibing, chillin'",I'm just vibing and chillin' through my weekend.,I'm just trying to relax and enjoy my weekend.
slide,"Yo, let's slide to the park later.","Hey, let's meet up at the park later."
"drained, grind",I'm just drained after a whole day grind.,I'm just tired after a long day at work.
"""hella""","I'm hella drained today, so I'm just gonna chill at home.","I'm feeling pretty tired today, so I'm just going to relax at home."
"drained, fr","I'm so drained, I barely slept last night, fr fr.",I'm really tired because I didn't sleep well last night.
peep,"Yo, did you peep the new flick last night?","Hey, did you catch the new movie last night?"
vibe,"Yo, wanna vibe with me later today?","Hey, do you want to hang out with me this afternoon?"
vibing,I'm just vibing and catching good vibes today.,I'm just trying to relax and enjoy my day.
"lounges, binge",I'm just gonna lounges at home and binge some shows tonight.,I'm just going to chill at home and watch some shows tonight.
"finna, grub","Yo, I'm finna snag some grub before I bounce.","Hey, I'm just going to grab some food before I head out."
"chill, binge",I'm just tryna chill and binge some shows after a long grind.,I'm just trying to relax and watch some TV after a long day.
vibin',"I'm straight-up vibin', kinda drained today.",I'm just feeling a little tired today.
"chillin', binge-watching",I'm just chillin' at home and binge-watching some shows.,I'm just going to relax at home and watch some shows.
vibing,"Yo, I'm just vibing at home and streaming some vids.","Hey, I'm just chilling at home and watching some videos."
tryna,I'm totally exhausted today and not tryna dip out.,I'm really tired today and don't feel like going out.
dead (tired slang),I'm dead tired today 'cause I pull an all-nighter last night.,I'm really tired today after staying up late last night.
slide,"Yo, you tryna slide to the mall later?","Hey, do you want to hang out at the mall later?"
"wiped, vibing","I'm mad wiped today, so I'm just chillin' at home and vibing.","I'm really tired today, so I think I'll stay home and relax."
vibe,I'm just gonna vibe at home and binge some shows.,I'm just going to chill at home and watch some TV.
"drained, lowkey","I'm mad drained after a long day, but I lowkey wanna chill with my crew.","I'm really tired after a long day, but I still want to hang out with my friends."
checkin,"Hey, I'm 체크in a coffee before hustle kicks in.",I'm going to grab a coffee before work.
sick,"Yo, saw your new do today, and it’s mad sick!","Hey, I saw your new haircut today, and it looks really cool!"
drained,I'm hella drained after a wild day.,I'm just really tired after a long day.
"drained, tryna","I'm totally drained today, just tryna chill at home.","I'm really tired today, so I just want to relax at home."
vibing,"Yo, did you peep that new flick everyone's vibing about?","Hey, did you see that new movie everyone’s talking about?"
slide,"Yo, wanna slide out for some lunch today?","Hey, do you want to grab lunch together today?"
finna,I'm finna sip some coffee before I bounce to class.,I'm going to grab some coffee before I head to school.
"chillin, vibin","I'm just chillin' and vibin' with some YouTube, no cap.",I'm just going to relax and watch some YouTube videos.
vibin',"Yo, have you peeped that new flick everyone’s vibin' on?","Hey, have you seen that new movie everyone's talking about?"
snag,"Yo, wanna snag some lunch after class?","Hey, do you want to grab some lunch after school?"
"woke, crib","I'm super woke and just wanna chill at my crib today, lowkey exhausted.",I'm feeling really tired today and just want to relax at home.
ghost,"I'm mad exhausted today, probably just gonna ghost at home.",I'm just really tired today and think I might stay home.
vibing,I'm just vibing at home and binge-watching some shows tonight.,I'm just going to relax and watch some TV tonight.
"quick, fr","Pulling a quick snack run before I dip to work, fr fr.",I'm just going to grab some lunch before heading to work.
hyped,I'm totally hyped for the concert tonight!,I'm really excited about the concert tonight!
soo exhausted,I'm soooo exhausted today ’cause I was up all night last night 😴.,I'm really tired today because I stayed up too late last night.
"drained, chill","I'm totally drained after today, just wanna chill and binge some shows.","I'm really tired after the long day, so I just want to relax and watch some TV."
vibing,"I was just vibing at home, bingeing some shows, no cap.",I was just relaxing at home and watching some TV.
vibing,"Chillin' at home, vibing with some Netflix, no cap.",I'm just relaxing at home and watching some shows.
gonna,Gonna snag some coffee real quick before we dip out.,I'm just going to grab some coffee before we head out.
vibing,"I'm just vibing at home and binge-watching some YouTube, no cap.",I'm just chilling at home and watching some YouTube.
about,"Yo, I'm about to hit up Starbucks later. Wanna roll through?","Hey, I'm going to grab some coffee later. Do you want to come along?"
hype,I'm hyped for the game tomorrow!,I'm really excited about tomorrow's game.
vibe,"Yo, wanna vibe tonight?","Hey, do you want to hang out tonight?"
"tryna, flick",I'm just tryna chill at home tonight and binge a flick.,I'm just going to relax at home tonight and watch a movie.
"chillin, vibing","I was just chillin' at home, vibing with some vids.",I was just relaxing at home and watching some videos.
"chill, vibe",I'm just tryna chill and vibe with my crew tonight.,I'm just trying to relax and hang out with friends tonight.
wanna,"Yo, wanna hit up Starbucks after class?","Hey, do you want to grab some coffee after school?"
vibe,"Yo, you down to vibe at the mall today?","Hey, do you want to hang out at the mall today?"
dead (exhausted),"I'm dead exhausted after that long grind, fr.",I'm feeling really tired after that long day at work.
vibing,Just vibing with my squad at the mall today.,I'm just hanging out with my friends at the mall today.
fr,"Catching my friends at the mall later, fr fr.",I'm going to meet my friends at the mall later.
java,I'm off to grab some java with my squad ☕🔥,I'm heading out to get some coffee with my friends.
finna,"Yo, just wrapped my homework, finna chill for a sec.","Hey, I just finished my homework and I'm gonna relax for a bit."
"tiered, chill, vibe","I'm mad tired today, just wanna chill at home and vibe out.","I'm really tired today, I think I just want to stay home and relax."
dropped,"Yo, did you peep the new flick that dropped yesterday?","Hey, did you see the new movie that came out yesterday?"
bouncin',I'm bouncing to get some java with my squad.,I'm going out to grab some coffee with my friends.
chillin',"Yo, you chillin’ to hang out later after school?","Hey, are you free to hang out later after school?"
finna,"I'm finna snag some java before class, fr.",I'm going to grab some coffee before class.
snag,"Yo, let's snag some java later, fr.","Hey, let's grab some coffee later."
finna,I'm just finna chill with my squad for some grub later.,I'm just going to grab some lunch with my friends later.
"chillin', flicks","I'm just chillin' at home, binge-watching some flicks tonight.",I'm probably going to stay home and watch some movies tonight.
"exhausted, studying",I'm hella exhausted today 'cause I pulled an all-nighter studiyng. ,I'm really tired today after staying up all night studying.
bruh,"Bruh, I left my keys at home today, no cap!","Hey, I forgot my keys at home this morning."
chillin',"Yo, just knocked out my homework, now I'm chillin' ✌️.","Hey, I just finished my homework and I'm ready to relax."
peeped,"Yo, I peeped her at the mall earlier today.","Hey, I saw her at the mall earlier today."
down,"Yo, you down to snag some lunch later?","Hey, do you want to grab some lunch later?"
"vibing, flicks","I'm just vibing at home, catching some flicks.","I'm just chilling at home, watching some movies."
finna,I'm finna hit up my buddy for some coffee tomorrow.,I'm going to grab some coffee with my friend tomorrow.
"slapped, vibing","Yo, just slapped that homework and I’m out here vibing now.","Hey, I just finished my homework and I’m ready to hang out."
drained,I'm totally drained today 'cause I barely slept 😴.,I'm really tired today because I didn’t get enough sleep.
vibing,"Yo, are we still vibing for the movie tonight?","Hey, are we still on for the movie tonight?"
finna,"I'm finna brew up some coffee with my squad later, fr.",I'm going to grab a coffee with my friends later.
vibing,Just vibing to see what my squad's on today.,I'm just seeing what my friends are up to today.
