Slang,Description,Example,Informal_Text_Without_Slang,Popularity
Main Character,Acting like the main character in life.,She's totally giving main character vibes.,She's absolutely acting like the star of her own life drama.,Medium
Normalize,Make something the norm.,We need to normalize self-care.,Let's make self-care a regular thing.,High
Oof,An expression of sympathy.,"Oof, that must have hurt.",That really seems painful.,High
Pressed,Angry or annoyed.,He's so pressed about the situation.,He's really worked up over the circumstance.,Medium
Resonate,Something that deeply connects or makes sense.,That quote really resonates with me.,That quote deeply connects with me.,Medium
Shooketh,Extremely shocked.,I am shooketh by that twist.,I'm absolutely floored by that twist.,Medium
Swerve,To avoid or move away from something.,I had to swerve to avoid the drama.,I needed to steer clear of the fuss.,Medium
Tight,Angry or frustrated.,He's tight about what happened.,He's pretty upset about what took place.,Medium
Unbothered,Not caring; unaffected.,She's completely unbothered by the hate.,She doesn't let the hate bother her at all.,High
Wavy,Cool or trendy.,That outfit is wavy.,That look is rad.,Medium
Whip,Car.,Check out my new whip.,Check out my fresh set of wheels.,High
Wildin,Acting wild or out of control.,He was wildin' at the party.,He was going crazy at the party.,Medium
Wylin,Acting wild or out of control.,She's wylin out here.,She's really cutting loose here.,Medium
Zooted,Under the influence.,He's zooted right now.,He's high as a kite at the moment.,Medium
Zoomies,"Sudden burst of energy, often used to describe pets.",My dog has the zoomies.,My dog's got a burst of energy!,Medium
Vibe Check,Evaluating someone's mood or the atmosphere.,Let's do a vibe check.,Let's take a mood read.,High
Spill the Tea,To share gossip or the latest news.,"Come on, spill the tea.","Alright, fill me in on the latest.",High
Big Yikes,Something extremely embarrassing or cringeworthy.,That was a big yikes moment.,That was quite an awkward/cringy moment.,High
Boujee,Luxurious or fancy.,Living the boujee life.,Leading a lavish lifestyle.,High
Bodega,"A small grocery store, typically in an urban area.",I'm heading to the bodega.,Heading over to the corner shop.,Medium
Gassed Up,Feeling excited or confident.,I'm so gassed up for the concert.,I'm seriously pumped for the concert!,Medium
Swerve,To avoid or dodge something.,She had to swerve that awkward conversation.,She had to steer clear of that uncomfortable discussion.,Medium
Tight,Angry or frustrated.,Why are you so tight today?,What's got you in such a bad mood today?,Medium
Drip,Stylish or fashionable.,Check out my drip.,Check out my swag.,High
Facts,Used to agree with something true.,That's facts.,Absolutely right!,High
Fire,Really good or excellent.,That song is fire.,That song is top-notch.,High
Hypebeast,"Someone obsessed with fashion, especially streetwear.",He's such a hypebeast.,"He's really into fashion trends, especially streetwear.",High
Keep it 100,To be honest and truthful.,I'm just keeping it 100 with you.,I'm being straight-up honest with you.,High
Lit,"Exciting, fun, or excellent.",That party was lit.,That party was a blast!,High
No Cap,No lie; truth.,"That's the best movie, no cap.","That's honestly the best movie, for real.",High
Plug,Someone who can supply something needed.,He's the plug for all the best snacks.,He's always got the hook-up on the top treats.,Medium
Salty,Bitter or upset.,Why are you so salty?,Why are you feeling so bitter?,Medium
Slay,To do something exceptionally well.,You slayed that presentation.,Nailed that presentation!,High
Sneak Diss,A subtle or indirect insult.,Was that a sneak diss?,Was that a veiled jibe?,Medium
Stay Woke,"Stay aware, especially of social issues.",Stay woke about what's happening.,Keep your eyes open to what's going on.,High
Thicc,Describing someone with a curvy figure.,She's so thicc.,She's got a lovely curvaceous figure.,High
Vibe,The mood or atmosphere.,I love the vibe here.,I really dig the ambiance here.,High
Wild,Crazy or out of control.,That party was wild.,That party was absolutely bonkers.,High
Woke,Being aware of social issues.,"Stay woke, everyone.","Stay informed on social issues, everybody.",High
Yeet,To throw something with force; also used for excitement.,He yeeted the ball.,He hurled the ball powerfully.,High
Zoomer,A member of Generation Z.,She's such a Zoomer.,That person is quite Generation Z.,Medium
Bet,Used to confirm something or agree.,"Bet, I'll be there.","Yep, I'm on my way.",High
Big Mood,A strong feeling or sentiment that others relate to.,That nap was a big mood.,That nap really hit the spot.,Medium
Bounce,To leave or exit quickly.,I'm gonna bounce now.,I've gotta split now.,Medium
Clap Back,"A quick, sharp, and witty retort.",That clap back was on point.,That comeback was spot-on.,High
Dope,Cool or awesome.,That outfit is dope.,That ensemble is quite cool.,High
Extra,"Over the top, excessive.",She's so extra with her drama.,She's really overdoing it with all the drama.,Medium
Finna,"Fixing to, about to.",I'm finna go now.,I'm fixing to leave now.,Medium
FOMO,Fear of Missing Out; anxiety about missing something.,I have FOMO from missing that party.,I've got a worry that I missed out on that party.,High
Gucci,Good or cool.,Everything's Gucci.,Everything's ace.,Medium
High-Key,Emphatically or openly.,I'm high-key excited for this.,I am genuinely thrilled about this.,Medium
Low-Key,Subtly or secretly.,I'm low-key worried about the test.,I've got a bit of a quiet concern about that test.,High
Shook,Shocked or surprised.,I was shook when I heard the news.,I was utterly astounded upon learning the news.,High
Simp,Someone who does too much for someone they like.,He's such a simp for her.,He truly goes out of his way for her.,High
Slaps,Really good or excellent.,This beat slaps.,This beat is killer.,High
Vibes,Good energy or atmosphere.,I love the vibes here.,I dig the positive ambiance here.,High
Woke,Being aware of social issues.,We need to stay woke.,Let's keep our eyes open to social issues.,High
Yolo,You Only Live Once; a call to take risks.,"I'm gonna do it, YOLO!",I'm gonna go for it - seize the day!,High
Bop,A song that's really good.,That new track is a bop.,That new song's a real humdinger!,Medium
Boujee,Luxurious or fancy.,She's so boujee with her style.,She's certainly got a posh sense of style.,High
Bruh,"A casual term for ""bro"" or ""dude.""","Come on, bruh, let's go.","Hey there, buddy, let's get moving.",High
Chill,Relaxed or easy-going.,I'm just chilling today.,I'm taking it easy today.,High
Clap Back,"A sharp, witty retort.",That clap back was savage.,That comeback was fierce.,High
Dank,"High-quality, especially used for memes.",That meme is dank.,That meme is top-notch.,High
Deadass,Seriously; genuinely.,I'm deadass serious.,I'm seriously for real.,High
Drip,"Stylish or fashionable, especially in clothing.",Check out my drip today.,Check out my style today!,High
Fire,Really good or excellent.,This pizza is fire.,This pizza is on point.,High
Flex,To show off or boast.,He's always flexing his new car.,He's always flaunting his new automobile.,High
Goat,Greatest Of All Time.,Messi is the goat of football.,Messi is the best ever in football.,High
Glow Up,A significant improvement in appearance or style.,She had a major glow-up over the summer.,She underwent a remarkable transformation in appearance over the summer.,Medium
Gucci,Good or cool.,Everything's Gucci.,Everything's all good.,Medium
High-Key,Emphatically or openly.,I'm high-key loving this weather.,I'm really digging this weather.,Medium
Hits Different,Something that resonates on a deep level.,That song hits different.,That song really resonates.,High
Hype,Intense excitement.,The hype is real for this movie.,There's some genuine enthusiasm for this film.,High
JOMO,Joy Of Missing Out.,I prefer JOMO to FOMO any day.,I'd rather enjoy the pleasure of not keeping up anytime over feeling like I'm missing out.,Medium
Karen,Entitled or demanding woman.,She's such a Karen.,She's quite the demanding woman.,High
L,Loss or failure.,We took the L on that one.,We whiffed it up on that occasion.,High
Living Rent-Free,Taking up a lot of mental space.,That comment is living rent-free in my mind.,That darn comment won't stop nagging at me.,High
Main Character,Acting like the main character in life.,She's totally giving main character vibes.,She's really playing the lead role in life.,Medium
Normalize,Make something the norm.,We need to normalize mental health talks.,Let's make it commonplace to have open discussions about mental health.,High
Oof,An expression of sympathy.,"Oof, that's tough.","That's really hard, I'm sorry.",High
Receipts,Proof or evidence.,Where are the receipts for your claim?,"Alright, gotcha. What's the proof for what you said then?",High
Salty,Bitter or upset.,Why are you so salty today?,Why are you in such a bad mood today?,Medium
Shade,Subtle insult.,She threw some serious shade at the party.,She subtly insulted someone at the party.,High
Simp,Someone who does too much for someone they like.,Stop simping over her.,Stop being excessively attentive towards her.,High
Slaps,Really good or excellent.,This beat slaps hard.,This beat rocks hard.,High
Vibes,Good energy or atmosphere.,I love the vibes here.,I dig this place's positive aura.,High
Woke,Being aware of social issues.,Stay woke.,Keep informed on social issues.,High
Yolo,You Only Live Once; a call to take risks.,"I'm gonna do it, YOLO!","I'm going for it, live life to the fullest!",High
Zoomer,A member of Generation Z.,"As a Zoomer, she's all about TikTok.","As a Gen-Z-er, she's heavily into TikTok.",Medium
Cancelled,Publicly denounced and rejected.,She's cancelled after that scandal.,She's been strongly criticized and publicly disapproved following that controversy.,High
Cap,A lie or something untrue.,"That's cap, you didn't do that.","That's pure bunkum, you didn't actually do it.",High
Dead,Used to describe something very funny.,"I'm dead, that was hilarious.",That was absolutely bloody hilarious!,High
Extra,"Over the top, excessive.",She's so extra with her drama.,She's really overdoing it with all the dramatics.,Medium
Finna,"Fixing to, about to.",I'm finna go now.,I'm about to leave now.,Medium
Finesse,To handle something skillfully.,He finessed his way in.,He smoothly managed to get inside.,Medium
Flex,To show off or boast.,He's flexing his new watch.,He's flaunting his new timepiece.,High
Goat,Greatest Of All Time.,Tom Brady is the GOAT.,Tom Brady is the best of all time.,High
Gucci,Good or cool.,Everything's Gucci here.,Everything's ace here.,Medium
Hype,Intense excitement.,The hype is real.,The excitement is genuine.,High
JOMO,Joy Of Missing Out.,I prefer JOMO to FOMO.,I'd rather revel in the pleasure of missing out than be consumed by the desire to participate.,Medium
L,Loss or failure.,We took an L today.,Took a loss today.,High
Lit,"Exciting, fun, or excellent.",This party is lit.,This party is off the chain!,High
Low-Key,Subtly or secretly.,I'm low-key enjoying this.,I'm quietly savoring this.,High
Mood,An expression of a relatable feeling or vibe.,That's such a mood.,That really hits the spot in terms of expressing a relatable feeling.,High
Salty,Bitter or upset.,Why are you so salty?,Why are you in such a bad mood?,Medium
Savage,"Acting fierce, confident, and unfiltered.",Her clap back was savage.,Her comeback was fierce.,High
Shook,Shocked or surprised.,I was shook by the news.,I was really taken aback by the news.,High
Slay,To do something exceptionally well.,She slayed that outfit.,She nailed that look!,High
Stan,An enthusiastic or obsessive fan.,I'm a stan for that band.,I'm really into that band.,High
Sus,Suspicious or questionable.,That seems sus.,That seems fishy.,High
Tea,Gossip or the latest news.,"Spill the tea, what happened?","Dish the details, what's going on?",High
Thicc,Describing someone with a curvy figure.,She's so thicc.,She has such a full figure.,High
Woke,Being aware of social issues.,We need to stay woke.,Let's keep an eye on social issues.,High
Yeet,To throw something with force; also used for excitement.,He yeeted the ball.,Hurled the ball!,High
Zoomer,A member of Generation Z.,"As a Zoomer, she's into TikTok.","Born in the Gen Z era, she's all about TikTok.",Medium
Big Yikes,Something extremely embarrassing or cringeworthy.,That was a big yikes moment.,"Oh boy, that was an awkward moment indeed.",High
Bop,A song that's really good.,That new track is a bop.,That fresh tune really slaps!,Medium
Bounce,To leave or exit.,"I'm bouncing, see you later.","I'm outta here, catch ya later!",Medium
Cancelled,Publicly denounced and rejected.,She's cancelled after that scandal.,She's been heavily criticized following the scandal.,High
Chill,Relaxed or easy-going.,I'm just chilling today.,I'm taking it easy today.,High
Clout,Influence or power.,He's just doing it for the clout.,He's merely doing it for the recognition.,High
Deadass,Seriously; genuinely.,I'm deadass not joking.,I'm seriously not kidding.,High
Drip,"Stylish or fashionable, especially in clothing.",Check out my drip today.,Check out my swaggy outfit today.,High
Extra,"Over the top, excessive.",She's so extra with her outfits.,She's really going overboard with her wardrobe choices.,Medium
Finesse,To handle something skillfully.,He finessed his way into the club.,He smoothly managed to get into the club.,Medium
Ghosting,Suddenly cutting off all communication with someone.,He ghosted me after our date.,He vanished without a trace following our date.,High
Hits Different,Something that resonates on a deep level.,That song hits different.,That song touches something deep within me.,High
JOMO,Joy Of Missing Out.,I'm all about JOMO these days.,I'm really embracing the joy of not keeping up these days.,Medium
Living Rent-Free,Taking up a lot of mental space.,She's living rent-free in my mind.,She won't stop nagging me in here.,High
Main Character,Acting like the main character in life.,She's totally giving main character vibes.,She's really playing the leading role in her own life.,Medium
Normalize,Make something the norm.,We need to normalize self-care.,Let's make it a routine to take care of ourselves.,High
Oof,An expression of sympathy.,"Oof, that must have hurt.","I'm sorry to hear that, it sounds painful.",High
Pressed,Angry or annoyed.,He's so pressed about the situation.,He's really fired up over that matter.,Medium
Resonate,Something that deeply connects or makes sense.,That quote really resonates with me.,That quote truly strikes a chord within me.,Medium
Shooketh,Extremely shocked.,I am shooketh by that twist.,I'm absolutely flabbergasted by that twist!,Medium
Swerve,To avoid or move away from something.,I had to swerve to avoid the drama.,Had to dodge that drama.,Medium
Tight,Angry or frustrated.,He's tight about what happened.,He's really pissed off about what occurred.,Medium
Unbothered,Not caring; unaffected.,She's completely unbothered by the hate.,She doesn't seem to mind the hate at all.,High
Wavy,Cool or trendy.,That outfit is wavy.,That get-up is pretty rad.,Medium
Whip,Car.,Check out my new whip.,Check out my fresh set of wheels.,High
Wildin,Acting wild or out of control.,He was wildin' at the party.,He was going wild at the party.,Medium
Wylin,Acting wild or out of control.,She's wylin out here.,She's really letting loose out here.,Medium
Zooted,Under the influence.,He's zooted right now.,He's pretty high at the moment.,Medium
Zoomies,"Sudden burst of energy, often used to describe pets.",My dog has the zoomies.,My dog's got a burst of energy.,Medium
Vibe Check,Evaluating someone's mood or the atmosphere.,Let's do a vibe check.,How about we feel out the vibes?,High
Spill the Tea,To share gossip or the latest news.,"Come on, spill the tea.",Let's hear all the latest scoop!,High
Big Yikes,Something extremely embarrassing or cringeworthy.,That was a big yikes moment.,"Holy moly, that was a mortifying instance.",High
Boujee,Luxurious or fancy.,Living the boujee life.,Savoring the high-end lifestyle.,High
Bodega,"A small grocery store, typically in an urban area.",I'm heading to the bodega.,Heading to the corner store.,Medium
Gassed Up,Feeling excited or confident.,I'm so gassed up for the concert.,I'm really hyped for the concert!,Medium
Swerve,To avoid or dodge something.,She had to swerve that awkward conversation.,She needed to dodge that uncomfortable chat.,Medium
Tight,Angry or frustrated.,Why are you so tight today?,What's getting you all worked up today?,Medium
Drip,Stylish or fashionable.,Check out my drip.,Check out my swag.,High
Facts,Used to agree with something true.,That's facts.,Absolutely true.,High
Fire,Really good or excellent.,That song is fire.,That song's killer!,High
Hypebeast,"Someone obsessed with fashion, especially streetwear.",He's such a hypebeast.,"He's so into fashion trends, especially streetwear.",High
Keep it 100,To be honest and truthful.,I'm just keeping it 100 with you.,I'm straight-up being honest with you.,High
Lit,"Exciting, fun, or excellent.",That party was lit.,That party was rad.,High
No Cap,No lie; truth.,"That's the best movie, no cap.","Absolutely, that's the top-notch movie, no lie.",High
Plug,Someone who can supply something needed.,He's the plug for all the best snacks.,He's your go-to guy for the finest treats.,Medium
Salty,Bitter or upset.,Why are you so salty?,Why are you so bitter?,Medium
Slay,To do something exceptionally well.,You slayed that presentation.,Nailed that presentation!,High
Sneak Diss,A subtle or indirect insult.,Was that a sneak diss?,Was that a quiet dig at them?,Medium
Stay Woke,"Stay aware, especially of social issues.",Stay woke about what's happening.,Keep an eye open to what's going on.,High
Thicc,Describing someone with a curvy figure.,She's so th,She has such a luscious curves figure.,
