Slang,Description,Example,Context,Informal_Text_Without_Slang,Popularity
Yeet,To throw something with force; also used for excitement.,He yeeted the ball.,"Typically employed during leisure activities or sports among younger generations, expressing enthusiasm or excitement. Primarily used in casual settings by individuals aged 13-25, both online and offline.",He hurled the ball powerfully.,High
Zoomer,A member of Generation Z.,She's such a Zoomer.,"Typically utilized among peers to casually reference younger adults, primarily those born between the late 1990s and mid-2010s. Often used in informal settings like social gatherings or online communities, it indicates familiarity with contemporary culture and trends.",That person is quite Generation Z.,Medium
Bet,Used to confirm something or agree.,"Bet, I'll be there.","Casual gatherings or online conversations among friends and acquaintances, often to express agreement or certainty about plans. Typically used to convey a friendly and positive tone. Widely adopted by diverse demographics, particularly in informal settings.","Yep, I'm on my way.",High
Big Mood,A strong feeling or sentiment that others relate to.,That nap was a big mood.,"Often employed among peers during casual online conversations or face-to-face interactions, particularly in younger demographics expressing shared sentiments of relaxation and relief.",That nap really hit the spot.,Medium
Bounce,To leave or exit quickly.,I'm gonna bounce now.,"Frequently employed by young adults in casual settings, often indicating a need for immediate departure or escape from an uncomfortable situation. Often used among friends or acquaintances, particularly in informal social gatherings.",I've gotta split now.,Medium
Clap Back,"A quick, sharp, and witty retort.",That clap back was on point.,"Typically used among youth and social media users during lively online discussions, signifying a clever response intended to assert dominance or challenge assumptions, often with a humorous undertone.",That comeback was spot-on.,High
Dope,Cool or awesome.,That outfit is dope.,"In informal settings among youth or urban communities, often used to express admiration for something stylish, trendy, or impressive. Particularly common in casual conversation and social media platforms.",That ensemble is quite cool.,High
Extra,"Over the top, excessive.",She's so extra with her drama.,"Typically observed in youth and young adult social circles, often used casually to humorously critique excessive or attention-seeking behavior, especially within informal settings like parties or online platforms.",She's really overdoing it with all the drama.,Medium
Finna,"Fixing to, about to.",I'm finna go now.,"Often heard among youth or casual peer groups, particularly in urban settings. Used casually to express readiness for immediate action, often with a laid-back, informal tone.",I'm fixing to leave now.,Medium
FOMO,Fear of Missing Out; anxiety about missing something.,I have FOMO from missing that party.,"This term is commonly utilized among friends or peers during social gatherings or events, expressing concerns about being excluded or not participating in a shared experience, particularly on digital platforms such as social media. It's particularly popular among younger demographics and those who frequently engage with social media.",I've got a worry that I missed out on that party.,High
Gucci,Good or cool.,Everything's Gucci.,"Typically used among friends or acquaintances in casual settings, signifying a situation is going well or everything is okay. Popular among youth and urban demographics.",Everything's ace.,Medium
High-Key,Emphatically or openly.,I'm high-key excited for this.,"This term is frequently employed in casual conversations among friends or peers, particularly when expressing strong enthusiasm or excitement about an upcoming event or situation. It can be found across various age groups and cultures, predominantly in youth subcultures and online communities.",I am genuinely thrilled about this.,Medium
Low-Key,Subtly or secretly.,I'm low-key worried about the test.,"This phrase is commonly employed during casual conversations among peers or friends, particularly when discussing personal concerns or anxieties that one might want to keep discreet. It's often used in settings such as study groups, hangouts, or online chats. The demographic range varies widely, but it's most prevalent among teenagers and young adults, especially those who engage in informal, digital communication.",I've got a bit of a quiet concern about that test.,High
Shook,Shocked or surprised.,I was shook when I heard the news.,"This term is commonly employed in casual conversations among young adults or youth to express surprise or astonishment, especially when discussing unexpected events or news. Its usage can be observed across various social settings such as peer groups, online forums, and entertainment platforms.",I was utterly astounded upon learning the news.,High
Simp,Someone who does too much for someone they like.,He's such a simp for her.,"Typically employed among young adults during casual online discussions or face-to-face interactions, expressing mockery or criticism towards an individual overtly pursuing another.",He truly goes out of his way for her.,High
Slaps,Really good or excellent.,This beat slaps.,"Often heard in casual, youthful settings, especially when discussing music or entertainment, expressing enthusiasm and approval among peers. Demographics tend to be younger adults and teenagers, particularly those interested in hip-hop culture. The phrase is commonly used online and in person during social gatherings.",This beat is killer.,High
Vibes,Good energy or atmosphere.,I love the vibes here.,"Young adults and teens in casual social settings, such as parties, gatherings, or events, often use this term to express enjoyment or comfort with a particular environment or group dynamic. It's popular among diverse groups, including friends, family, and acquaintances. The sentiment behind the usage is generally positive and upbeat, reflecting a good mood or atmosphere.",I dig the positive ambiance here.,High
Woke,Being aware of social issues.,We need to stay woke.,"This term is often employed during discussions centered around social awareness, particularly within youth culture, online platforms, or progressive circles, expressing a call-to-action or heightened alertness towards current social issues.",Let's keep our eyes open to social issues.,High
Yolo,You Only Live Once; a call to take risks.,"I'm gonna do it, YOLO!","Typically expressed among youth or friends during spontaneous decisions, often in casual settings such as parties or gatherings, signifying a desire for adventure and seizing opportunities. Demographic range is broad, but predominantly popular with millennials and Generation Z.",I'm gonna go for it - seize the day!,High
Bop,A song that's really good.,That new track is a bop.,"In contemporary youth culture, particularly among music enthusiasts, this term is often employed during casual discussions to express enthusiasm for an enjoyable song or track, typically in social settings like parties or gatherings. The users are primarily younger generations who are up-to-date with the latest music trends and popular culture.",That new song's a real humdinger!,Medium
Boujee,Luxurious or fancy.,She's so boujee with her style.,"In contemporary social settings, often among young adults and urban communities, the term is used to describe extravagant or high-end preferences, particularly in fashion or lifestyle choices. The sentiment behind its usage is usually playful admiration or mild envy.",She's certainly got a posh sense of style.,High
Bruh,"A casual term for ""bro"" or ""dude.""","Come on, bruh, let's go.","Casual social setting among peers, typically expresses camaraderie and shared excitement or urgency, predominantly among younger demographics, such as teenagers and young adults.","Hey there, buddy, let's get moving.",High
Chill,Relaxed or easy-going.,I'm just chilling today.,"Typically used among peers during leisure activities or casual gatherings, usually indicating a relaxed and unrushed atmosphere. Primarily common in informal social settings among younger generations.",I'm taking it easy today.,High
Clap Back,"A sharp, witty retort.",That clap back was savage.,"Primarily utilized among young adults and online communities during casual, lively discussions or debates, often on social media platforms, where a quick, humorous response is deemed impressive.",That comeback was fierce.,High
Dank,"High-quality, especially used for memes.",That meme is dank.,"Online communities, particularly those centered around sharing and discussing internet humor, often use this term to express approval or appreciation for high-quality content, such as memes or jokes. The usage tends to be among young adults and adolescents, demonstrating a positive sentiment and informal tone.",That meme is top-notch.,High
Deadass,Seriously; genuinely.,I'm deadass serious.,"Typically employed in casual conversations among younger demographics, particularly in urban settings, to emphasize sincerity and authenticity. Often used during discussions about personal experiences or shared interests.",I'm seriously for real.,High
Drip,"Stylish or fashionable, especially in clothing.",Check out my drip today.,"This term is often used among peers or in social media settings to showcase personal style or fashion choices, typically emphasizing a sense of pride and self-expression. It's particularly common among younger generations and urban communities who prioritize trendy clothing and individuality.",Check out my style today!,High
Fire,Really good or excellent.,This pizza is fire.,"Often utilized among peers in casual social settings, such as gatherings or online groups, to express enthusiastic approval towards a shared experience or item, particularly food, music, or entertainment. Primarily used by younger demographics, with a tone of excitement and positivity.",This pizza is on point.,High
Flex,To show off or boast.,He's always flexing his new car.,"This term is commonly used among young adults and urban communities to highlight material possessions or personal accomplishments, often in social settings such as parties or online platforms, conveying a sense of pride and achievement.",He's always flaunting his new automobile.,High
Goat,Greatest Of All Time.,Messi is the goat of football.,"Generally utilized among sports enthusiasts, particularly soccer fans, during discussions about outstanding athletes or memorable performances. Most prevalent online, in social media groups, and at live sporting events, often indicating admiration or respect. Demographics range from teenagers to adults.",Messi is the best ever in football.,High
Glow Up,A significant improvement in appearance or style.,She had a major glow-up over the summer.,"Typically observed among younger demographics, particularly on social media platforms, to express noticeable personal transformation or fashion evolution, often during periods of growth or self-improvement.",She underwent a remarkable transformation in appearance over the summer.,Medium
Gucci,Good or cool.,Everything's Gucci.,"Typically used among peers in casual settings to affirm agreement or convey a sense of reassurance, especially among younger demographics, particularly urban and trend-conscious individuals. This usage often carries a positive sentiment but can also suggest indifference.",Everything's all good.,Medium
High-Key,Emphatically or openly.,I'm high-key loving this weather.,"In casual, social settings, particularly among younger or urban demographics, people may openly express their enthusiasm about a subject, such as the weather, using emphatic language. This usage is common in both online and offline conversations, typically to convey excitement or approval.",I'm really digging this weather.,Medium
Hits Different,Something that resonates on a deep level.,That song hits different.,"In casual conversations among young adults, particularly in music or pop culture settings, often expressing a deep emotional connection with a specific piece of music or art.",That song really resonates.,High
Hype,Intense excitement.,The hype is real for this movie.,"This term, indicating intense excitement or anticipation, is commonly used among peers in casual social settings such as parties, gatherings, or online discussions when discussing upcoming events like movies, concerts, or video games. Its usage often reflects a positive and enthusiastic sentiment, particularly among younger demographics, including teens and young adults.",There's some genuine enthusiasm for this film.,High
JOMO,Joy Of Missing Out.,I prefer JOMO to FOMO any day.,"Often expressed among young adults and millennials in casual social settings, typically during discussions about events or activities where attendance is optional. The sentiment is often positive, reflecting a preference for personal well-being over societal pressures to be constantly connected.",I'd rather enjoy the pleasure of not keeping up anytime over feeling like I'm missing out.,Medium
Karen,Entitled or demanding woman.,She's such a Karen.,"Often employed among young adults in casual settings, especially online, to humorously denote a woman perceived as assertive yet entitled or demanding, particularly in customer service interactions.",She's quite the demanding woman.,High
L,Loss or failure.,We took the L on that one.,"This term is often used in informal settings among young adults, particularly in digital communities and urban environments, to discuss setbacks or failures in a lighthearted manner, often following a competitive event or challenge.",We whiffed it up on that occasion.,High
Living Rent-Free,Taking up a lot of mental space.,That comment is living rent-free in my mind.,"This phrase is often employed casually among friends or peers, typically expressing frustration or annoyance at an ongoing thought or situation, such as a persistent criticism or worry. It can be found predominantly in informal settings and may have a colloquial, lighthearted tone. The demographic range varies widely, with frequent use on social media platforms and in contemporary popular culture.",That darn comment won't stop nagging at me.,High
Main Character,Acting like the main character in life.,She's totally giving main character vibes.,"Primarily used among peers during casual social gatherings or online interactions, often to humorously comment on someone exhibiting an exaggerated sense of self-importance or entitlement. The term is popular among millennials and Generation Z.",She's really playing the lead role in life.,Medium
Normalize,Make something the norm.,We need to normalize mental health talks.,"Used among a diverse range of individuals advocating for open discussions about mental health, particularly in modern online and offline support groups, workplaces, and educational institutions, to encourage acceptance and destigmatization. The sentiment is generally positive, fostering understanding and empathy.",Let's make it commonplace to have open discussions about mental health.,High
