normal,gen_z,Slang
Let's meet up at the cafe later to study.,"Yo, let's link at the cafe later to grind on some homework.",Let's hang out at the café later to study some assignments. (slang term: Link)
I'm really tired today but I have to finish my homework.,I'm mad exhausted today but gotta grind on my homework.,"burnt out, hustle"
"Hey, did you see the new movie everyone was talking about?","Yo, did u peep the new flick everyone's hyped about?","Heard the buzz 'bout the fresh movie, huh?"
"Hey, I'm just relaxing at home after a long day.","Yo, just chillin' at home after a long one.","Chillin' at home (slang for relaxing) after a long one (slang for a hard day). The original slang terms here are ""chillin'"" and ""long one""."
It's really hot outside today.,"It's mega hot out today, fr fr.",scorching
I'm just going to grab some coffee before work.,Gonna snag some coffee before the grind.,gonna cop (slang for get/buy) a cuppa joe before work (grind can refer to work or a difficult task)
I'm really excited to hang out with my friends this weekend.,I'm super hyped to chill with my crew this weekend.,pumped
I'm really tired after working all day.,I'm dead tired after grinding all day.,beat (exhausted from working hard)
I'm just really tired today and I don't want to go out.,I'm mad sleepy today and I can't be bothered to step out.,exhausted
I'm going out with my friends tonight.,Chillin' with my squad tonight.,Hangin' with crew tonight.
"I'm really tired today, I just want to nap all afternoon.","I'm so drained today, all I wanna do is crash all arvo.","burned out, just wanna nap this afternoon"
"Hey, do you want to hang out this weekend?","Yo, wanna chill this weekend?",Hang out (this weekend)
I'm really tired because I stayed up late last night.,I'm hella drained 'cause I pulled an all-nighter yesterday.,burned out
I'm just really tired today and just want to relax at home.,"I'm super drained today, just tryna chill at home.","burnt out, chilling"
I'm really tired today but I still have to finish my homework.,I'm super drained today but I gotta grind and finish my homework.,"burnt out, hustle"
"I'm really tired today, I think I'll just stay in and relax.","I'm hella tired today, might just chill at home and vibing.","exhausted, chilling"
I'm just really tired today and don't feel like going out.,I'm mad tired today and not tryna dip out.,exhausted_not_feeling_up_to_it
"I'm really tired today, I just want to chill at home.","I'm dead tired today, just wanna veg at home.",burned out
I'm really tired today because I stayed up late studying.,I'm mad tired today 'cause I pulled an all-nighter hitting the books.,burnt out
I'm really tired today after a long week.,"I'm so drained after this crazy week, fr.",burnt out
"I'm really tired today, I might just relax at home.","I'm hella exhausted today, might just chill at home.",utterly exhausted
I'm just going out to grab some coffee with my friends.,"I'm just heading out to vibe with my friends over some coffee, no cap.",chilling (with friends)
I'm just going to relax at home tonight and watch some movies.,"I'm just chillin' at home tonight, binge-watching some flicks.",Chillaxing (at home) / Binging (flicks)
I'm really tired after working all day and just want to chill with some snacks.,"I'm totally wiped after grinding all day, just wanna kick back with some snacks.","exhausted (from grinding), chill (with snacks)"
I'm just relaxing at home and watching some TV.,"I'm chillin' at my place, vibing with some shows.",Chillin' -> Chilling (meaning relaxing)
I'm really tired and just want to relax at home today.,"I'm super exhausted and just wanna chill at home today, fr.","burned out, wanna chill (at home)"
I'm just trying to get through the day without any problems.,I'm just tryna vibing through the day without any drama.,Chillin'
I'm just going to relax and watch a movie tonight.,I'm just chillin' and gonna Netflix and chill tonight.,"Chillin', Netflix, Chill"
I'm just asking if you want to hang out later.,"Yo, you down to chill later or what?",Chillin' (with) later?
I'm just going to relax at home and watch some movies.,"I'm just chillin' at home and streaming some flicks, fr.","Chillaxing (at home) & streaming films, bro."
I'm just going to grab some coffee before class.,"I'm finna snag some coffee before lecture, fr.",gonnabeketcha
I'm just hanging out with my friends at the park today.,"Chillin' with my crew at the park today, no cap.","Hangin' with my peeps at the park today, no lie."
"Hey, are you free to hang out tomorrow?","Yo, you down to chill tomorrow?",Wanna hang out tomorrow?
I'm just going to relax at home and watch some TV tonight.,I'm finna chill at my place and binge some shows tonight.,"gon' chill, watch some shows"
I'm just heading to the store to buy some snacks.,"Gonna slide to the store to grab some snacks, no cap.",Slide (informal for going)
"Hey, do you want to hang out later?","Yo, you tryna chill later?",Wanna hang out later?
"Hey, I just finished my homework and I'm ready to hang out.","Yo, just wrapped my homework and I'm all set to chill.","All good, finished with schoolwork, ready to relax."
"Hey, did you see the new movie last night?","Yo, did you catch that fresh flick yesterday night?",Fresh flick (movie) -> fresh movie
I’m really tired after a long day at work.,I’m so drained after a long grind today.,burnt out
I'm just really tired after a long day at work.,I'm totally drained after a long day at the grind.,burned out
I'm just honestly tired after a long day.,"I'm just vibing out tired after a whole day, no cap.",chilling (tired)
I'm just going to hang out with my friends this weekend.,I'm just chillin' with my crew this weekend.,Chillin' (with slang term omitted)
I'm just going to relax at home and watch some TV.,I'm just chillin' at home and vibing with some Netflix.,"Chillin' > Chilling, Vibing > Vibe"
"Hey, do you want to grab a coffee later?","Yo, wanna catch a coffee later?",Wanna grab a cuppa joe later?
I'm really excited about hanging out with my friends tonight.,I'm so hyped to chill with my peeps tonight!,pumped
I'm just going to hang out with my friends at the park today.,I'm just vibing with my squad at the park today.,Chillin' with crew (slang for squad) at the park today.
"Hey, do you want to go grab some coffee later?","Yo, ya tryna snag some coffee later?",Wanna grab some coffee later?
I'm really tired after studying all night.,I'm hella drained 'cause I pulled an all-nighter.,exhausted (from staying up all night)
I'm going to grab some lunch with my friends later.,I'm chillin' with my crew for some grub later.,Chillin' -> Hangin' (with friends)
"Hey, I just finished my homework and I'm feeling pretty good.","Yo, just crushed my homework and I'm vibing pretty hard.",Nailed it (on homework) and feeling lit up.
"Hey, do you want to hang out tomorrow?","Yo, you down to vibe tomorrow?",Wanna chill tomorrow?
"Hey, are you free to hang out today?","Yo, you free to chill today?","Got any plans for today, homes?"
I'm just really tired and need to rest for a bit.,"I'm so drained, I gotta chill for a sec.","burned out, need a breather"
I'm just chilling at home and watching some videos.,"I'm just vibing at home, binge-watching some vids.","Chillin' at home, watchin' some tapes"
"Hey, do you want to go out for pizza tonight?","Yo, wanna hit up some pizza tonight?",Wanna grab pizza tonight?
I'm just relaxing at home and watching some movies.,"Chillin' at my crib, vibing with some flicks.","Hanging out at home, relaxing with some movies. (Slang terms used are ""chillin'"" and ""flicks"", where ""flicks"" is a colloquial term for films or movies.)"
I'm just going to relax at home and watch some videos.,"I'm just chillin' at home, binge-watching vids, no cap.","Chillaxing (at home), binging videos"
"Hey, are you free to hang out this afternoon?","Yo, you down to chill today?",Down to hang out
I'm really tired today and just want to relax.,"I'm so drained today, just tryna chill and vibe.","burned out, chilling, vibing"
I'm feeling really tired today and just want to chill at home.,"I'm straight-up drained today, just tryna Netflix and veg at home, no cap.","exhausted, chilling (at home), no lie"
"I'm just sitting here, relaxing and listening to some music.","I'm just vibin' here, chillin’ with my tunes.",Chillaxin' (with music)
I'm grabbing a coffee with my friends this afternoon.,"I'm chugging a latte with my squad later, no cap.",Squad up (later)
Let's hang out at the mall this afternoon.,"Yo, let's vibe at the mall later!",Chill (at the mall) later!
"Hey, do you want to hang out later to watch a movie?","Yo, wanna vibe later and catch a flick?","Chill, let's catch a movie later?"
I'm just feeling really tired today.,"I'm totally drained today, no cap.",burned out
"Hey, do you want to grab a quick coffee before the movie?","Yo, wanna grab a quick latte before the flick?",Chillin' grab a caffeine hit b4 movie?
I'm just really tired today because I didn't sleep well.,I'm lowkey exhausted today 'cause I slept like trash.,burned out
Did you see the new movie that just came out?,"Yo, did you peep the new flick that just dropped?",Heard the latest movie come out?
"Hey, do you want to hang out after school?","Yo, wanna chill after class?",Hang out (after class)
I'm really excited to go to the concert tonight.,I'm so hyped for the concert tonight!,excited
I'm just going to chill at home and watch some movies tonight.,I'm just gon' vibe at my place and binge some flicks tonight.,"Chillin' and streaming shows (slang for ""binge watching"") tonight."
I'm just going to chill at home and watch some shows.,"I'm just vibing at home, binge-watching some shows.","Chillin' at home, marathon-watching shows."
I'm really excited for the party tonight.,I'm so hyped for the party tonight!,pumped
I'm really excited to chill with my friends tonight.,I'm soooo hyped to hang with my squad tonight!,pumped
"Hey, do you want to grab something to eat later?","Yo, wanna catch a snack later?","Wanna chill, grab a bite later? (The slang term is ""catch"" used informally to mean ""hang out"" or ""spend time together"".)"
"Hey, did you finish your homework?","Yo, did you peep your homework yet?",You got your assignment checked out yet?
I'm just waiting for my friend to arrive so we can go to the cafe.,"Just vibing, waitin' on my homie to pull up so we can hit the cafe.","Chillin', awaiting buddy's arrival to hang at café."
I'm going to grab some food with my friends later.,"I'mma hit up my friends for some grub later, fr.","gonna grab food from pals later, bro"
I'm just relaxing at home and watching some videos.,I'm just vibing at home and streaming some vids.,chilling (at home) & watching videos
"Hey, are you free this afternoon to hang out?","Yo, you vibing this arvo to chill?","You feeling this afternoon to hang out? (The slang term used here is ""vibing"", which means enjoying oneself or having a good time.)"
I'm going to grab some coffee with my friends today.,I'm finna slurp some coffee with my crew today.,Gonna sip some coffee with the gang today.
"Hey, did you see that new movie last night?","Yo, did you catch that new flick last night?",Heard the latest movie last night?
I'm really tired because I stayed up too late last night.,I'm dead tired 'cause I was up all night scrolling.,burnt out (from excessive scrolling)
I'm just planning to hang out with friends this afternoon.,"OOTD, just vibing with the crew today, no cap.",swag (slang for looking good)
I'm going to grab some coffee before I head to class.,I'm finna sip some coffee before I dip to class.,"'gonna' (for 'I'm gonna') and 'dip' (for 'head', often used colloquially to mean leaving or going)"
I'm just going to relax at home tonight.,"I'm just chillin' at home tonight, no cap.",Chillin' (no cap) --> Chillaxing
I'm just really tired today because I didn't sleep well last night.,I'm so drained today 'cause I barely slept last night.,burned out
"Hey, did you see the new movie everyone’s talking about?","Yo, did you peep that fresh flick everyone’s buzzin' about?",Heard that hot movie everyone's talking about?
"I'm really tired today, so I think I'll just stay in and relax.","I'm hella drained today, so I'm just gonna chill at home and vibing.","exhausted, chilling at home, vibing"
I'm really excited to hang out with my friends tonight.,I'm super hyped to chill with my squad tonight!,pumped
I'm just going to stay home and relax today.,"I'm just chillin' at home today, no cap.","Chillin' (In this context, it means relaxing or spending leisure time without any specific purpose or urgency)"
I'm really tired today because I didn't get enough sleep.,I'm totally drained today 'cause I slept like zero hours.,burned out
I'm just really tired today and want to stay home.,I'm hella beat today and just wanna chill at home.,tired (and) want to relax (at) home
"I'm really tired today, so I think I'll just stay home and relax.","I'm super wiped today, so I'm just vibing at home and chilling.",drained (exhausted)
I'm going to grab some coffee with my friends later.,I'm about to snag some coffee with my squad later.,crew
I'm just hanging out with my friends at the park after school.,"Chillin' with my crew at the park after class, no cap.","Hanging out with my squad at the park post-class, for real."
I was just about to leave the house when I remembered I left my phone inside.,"I was finna dip, then I remembered I left my phone chillin' inside.",about-to-leave
I really like hanging out with my friends after school.,"I’m vibing with my crew after school, fr.",chilling (with friends)
I'm just chilling at home and watching some shows.,"I'm just vibin' at home, binge-watching some shows.","Chillin' at home, binging shows"
I noticed that the new cafe opened downtown yesterday.,"Yo, saw that new chill spot pop up downtown yesterday!",stumbled upon a fresh hangout downtown y'day
I'm honestly really tired after working all day.,"I'm legit dead tired after grindin' all day, fr.",exhausted (after hustling all day)
"I'm really tired today, so I think I'll just relax at home.","I'm super drained today, so I'm just gonna chill at home.",burned out
I'm going to grab some coffee with my friend later.,"I'm finna hit up my homie for some coffee later, fr fr.",gonna
"Hey, I just finished my homework and I'm ready to chill.","Yo, just knocked out my homework and I'm all set to vibe.","Chilled (out) and done with my assignment, ready to vibe."
I'm really tired after the long day at work.,I'm so drained after this long day at the grind.,burned out
I'm just going to grab some coffee before heading to work.,I'm finna sip some java before I dip to work.,"gonna drink coffee before I head to work. (Slang term: ""finna"" which stands for ""fixing to"" or ""about to"")"
I'm just going to grab a quick coffee before work.,"Gonna hit up a quick coffee run before work, fr.","chillin' (out) for a quick caffeine fix b4 wk, fam"
"Hey, do you want to hang out this afternoon?","Yo, wanna kick it today?",Hang out
"I'm just really tired today, so I think I'll stay home and relax.","I'm mad drained today, so I'm just chillin' at home and vibin'.","exhausted, vibing"
"Hey, did you see the new movie everyone is talking about?","Yo, did you peep the new flick everyone's hyped about?",Heard 'bout the fresh movie everybody's excited for?
I'm just going to chill at home and watch some TV tonight.,I'm just gonna vibe at home and binge some shows tonight. They’re gonna be lit!,"Chillin' at home, streaming some series tonight. Gonna be fire!"
"Hey, are you free to hang out tonight?","Yo, you down to chill tonight?",You down to hang out tonight?
I'm going to grab some coffee before heading to class.,I'm about to snag some coffee before I dip to class.,gonnabrewsomecoffee
I'm just so tired after a long day at work.,"I'm straight up drained after a crazy long day at work, no cap.",burned out
"Hey, I think I forgot my homework at home today.","Yo, I totally left my homework at the crib today.","Chillin', forgot my homework at home"
I'm just feeling a little tired after a long day at work.,I'm kinda wiped after a long day at the grind.,beat (exhausted)
I'm just going to chill at home and watch some Netflix.,"I'm just gonna vibing at home and binge some Netflix, no cap.","Chillin' at home, Netflix binge."
I'm really tired because I stayed up late watching videos.,I'm mad tired 'cause I was up all night binge-watching vids.,burnt out (from watching too many videos)
"Hey, do you want to grab dinner tonight?","Yo, you down to hit up some dinner tonight?",Wanna grab dinner tonight?
"Hey, do you want to hang out later and grab some coffee?","Yo, you tryna chill later and get some java?","Wanna hang out later, grab a coffee?"
"Hey, did you see that new movie everyone's talking about?","Yo, did you peep that new flick everyone's hyped about?","Heard about the new movie everyone's excited for? (Slang term: ""Heard"", used instead of ""Have you heard?"")"
"Hey, let's meet up at the cafe later and catch up.","Yo, let's slide to the café later and vibe.zz",Let's hit up the café later and chill.
I'm just going to hang out with my friends this afternoon.,I’m just gonna vibe with my friends later.,Chill (with friends later)
I'm really excited about hanging out with my friends this weekend.,"I'm hyped to chill with my crew this weekend, fr fr!",stoked
I'm really tired after studying all day.,I'm completely 🥱 after grinding all day.,burned out
"Hey, I'm really tired today, so I think I'll just stay home and relax.","Yo, I'm hella drained today, so I'm just gonna chill at home and vibe.","exhausted, chilling at home, vibing"
"Hey, did you see that new movie everyone is talking about?","Yo, did you catch that new flick everyone’s vibing over?",Got that fresh movie everyone's hyped about?
I'm just really tired today and feeling a bit bored.,I'm mad tired today and vibing in boredom.,"burnt out, bored"
"Hey, did you see that new movie yesterday?","Yo, did you catch that fresh flick yesterday?",caught that new movie yesterday
I'm thinking about grabbing some coffee before heading out.,Lowkey tryna snag some coffee before I dip.,lowkey wanting (to get) some coffee before I leave
"Hey, I just finished my homework and I'm ready to hang out with friends.","Yo, justwrapped my homework and I'm totally down to kick it with the squad.","chillin', ready for fun with crew"
I’m just going to chill at home and watch some movies tonight.,I'm just gon' kick it at home and binge some flicks tonight.,Chillin' and streaming shows tonight
"Hey, are you free to hang out this weekend?","Yo, you down to chill this weekend?",Wanna hang out this weekend?
I'm really tired after school today.,I'm mad drained after school today.,burned out
I'm just going to chill at home and watch some movies today.,I'm just gonna vibe at home and binge some flicks today.,"Chillin' at home, watchin' some films today."
I'm just relaxing at home tonight.,"Just chillin' at home tonight, no cap.",Chillin' (slang for relaxing)
I'm really tired after work today.,I'm super beat after grindin' all day.,worn out (after hustling all day)
"Hey, are you free to hang out after school?","Yo, are you down to chill after class?",Chill (informal)
I'm just going to grab some coffee before I head to class.,I'm just gonna snag some coffee before I bounce to class.,grab (coffee) gon' scram (to class)
"Hey, do you want to hang out at the mall this afternoon?","Yo, wanna vibe at the mall later?",Chill (at the mall) later?
I'm just going to grab some coffee before heading to class.,I'm finna snag some coffee before bouncing to class.,gonnabegin grabbing coffee then leavetobeforclass
"Hey, do you want to grab lunch later?","Yo, wanna hit up lunch later?",Wanna grab lunch later?
That movie was really interesting and funny.,That flick was mad funny and cool fr!,"hilarious, awesome"
I'm just trying to relax and have a good time this weekend.,I'm just tryna chill and vibe out this weekend.,Chillin' and vibin'
I'm going to grab some coffee with my friends this afternoon.,"Yo, I'm hitting up the café with my crew later, fr fr.","Chillin', hanging out at café with friends (crew) later, for real."
"Hey, do you want to grab some ice cream later?","Yo, you down to snag some ice cream later?",You wanna grab some ice cream later?
I'm really tired after those long errands today.,I'm hella drained after running all those errands today.,exhausted
I just finished my homework and I’m feeling pretty good about it.,I just bossed my homework and I’m vibing with it.,Crushed (homework) and feeling rad.
"Hey, I just finished my homework and I feel so relieved.","Yo, just knocked out my homework and I’m vibing so hard right now!","crushing it on homework, feelin' lit now"
"Hey, I’ve got to leave early today because I have an appointment.","Yo, I gotta bounce early today 'cause I got an appointment.",Gotta skedaddle early today (slang for leave quickly)
"Wow, I really like that new song you recommended.","Yo, that new song you sent is fire, I’m obsessed!","That song's fire, I'm hooked! (Song is great, I can't stop listening)"
I'm really excited to go to the concert tonight!,I'm totally hyped to hit up the concert tonight! 🔥,pumped
I'm going to grab some coffee after work to relax.,I'm down to sip on some coffee after work to chill.,Chillin' (coffee sipping)
I'm so tired after studying all night.,I'm hella drained after pulling an all-nighter.,I'm utterly exhausted (after working all night).
"Hey, I'm just chilling at home and watching some Netflix.","Hey, I’m just vibing at home and binging some Netflix.",Chilling (at home) & Netflixing
I'm heading to the mall to hang out with my friends.,I'm gonna slide to the mall to chill with my peeps.,hitting up mall with crew
"I'm really tired after studying all day, I just want to relax now.","I'm dead tired after hitin' the books all day, just tryna chill now.","burned out (from studying all day), wanna relax now."
I'm really tired today because I stayed up late watching videos.,I'm super dead today 'cause I pulled an all-nighter binge-watching vids.,burned out
I'm just chilling at home and watching some movies.,"Just vibing at home, Netflix and chillin' all day. ",Chillaxing (at home)
I'm just going to grab some coffee and then head to the mall.,"Yo, I'm just guding some coffee and then hitting up the mall, fr fr.","Chillin', heading to shop at the mall afterwards, for real. (slang term: ""Chillin'"")"
"Hey, I just finished my homework and I'm going to chill for a bit.","Yo, just wrapped my homework and I'm about to vibe for a sec.",Chillin' (after completing homework)
I'm just really tired today and I don't feel like doing anything.,"I'm dead tired today and not tryna do anything, fr.",exhausted AF
"I'm really tired after working all day, I just want to relax now.","I'm mad drained after grinding all day, just tryna chill now.","burnt out, chilling"
I'm just going to relax at home this weekend.,"I'm just vibing at home this weekend, no cap.",Chillin' (at home) this weekend
I'm just going to grab some coffee and then head to work.,"Chill, I'm just finna get some coffee and then slide to work.",Gonna
I'm just tired and want to relax at home tonight.,I'm dead tired and just wanna chill at home tonight.,"burned out, wanna veg at home tonight"
"I'm feeling pretty tired today, so I think I'll just stay home and relax.","I'm lowkey drained today, so I’m just chillin' at home to vibe.","burnt out, chilling"
I'm going to grab some coffee before heading to work.,"Gonna get some coffee before I dip to work, no cap.",dipping (as in leaving)
I'm going to hang out with my friends this afternoon.,"I'm finna chill with my squad later, no cap.",finna (going to)
I'm just trying to finish my homework before dinner.,"I'm just tryna wrap up my homework before dinner, no cap.",just trynna (complete) my homework before dinner (informal way of saying complete)
I'm just going to chill at home and listen to some music.,I'm just gonna vibe at home and crank some tunes.,"chilling, blasting"
I just finished my homework and I'm feeling pretty tired.,Just wrapped my homework and I'm lowkey drained rn.,burned out
I'm just going to relax at home and watch some movies tonight.,"I'm just tryna chill at home and stream some flicks tonight, you feel me?","Chillin', watchin' films (slang for ""streaming movies"")"
"Hey, I saw your message and I’ll reply later.","Yo, saw ur msg, I’ll holler back later.","Chill, catch up later. (Slang term: ""holler"")"
I'm just trying to relax and enjoy my weekend.,I'm just vibing and chillin' through my weekend.,Chillaxing (relaxing and enjoying oneself)
"Hey, let's meet up at the park later.","Yo, let's slide to the park later.","Let's hang out at the park later. (Slang term used: ""slide"" meaning to meet up or go somewhere together)"
I'm just tired after a long day at work.,I'm just drained after a whole day grind.,burned out
"I'm feeling pretty tired today, so I'm just going to relax at home.","I'm hella drained today, so I'm just gonna chill at home.",exhausted
I'm really tired because I didn't sleep well last night.,"I'm so drained, I barely slept last night, fr fr.","burned (out), barely slept (last) night, for real"
"Hey, did you catch the new movie last night?","Yo, did you peep the new flick last night?",Heard the latest movie last night? (Slang term: Peep)
"Hey, do you want to hang out with me this afternoon?","Yo, wanna vibe with me later today?",Wanna chill with me later?
I'm just trying to relax and enjoy my day.,I'm just vibing and catching good vibes today.,Chillin' (good vibes)
I'm just going to chill at home and watch some shows tonight.,I'm just gonna lounges at home and binge some shows tonight.,"Chillin' at home, watching shows tonight. (Slang term: Chillin')"
"Hey, I'm just going to grab some food before I head out.","Yo, I'm finna snag some grub before I bounce.",Gonna grab food and leave
I'm just trying to relax and watch some TV after a long day.,I'm just tryna chill and binge some shows after a long grind.,"Chillin', marathon-watchin'"
I'm just feeling a little tired today.,"I'm straight-up vibin', kinda drained today.",vibing
I'm just going to relax at home and watch some shows.,I'm just chillin' at home and binge-watching some shows.,Chillaxing (at home) & binging
"Hey, I'm just chilling at home and watching some videos.","Yo, I'm just vibing at home and streaming some vids.","Chillin', watchin' tapes at home."
I'm really tired today and don't feel like going out.,I'm totally exhausted today and not tryna dip out.,worn out and ain't ditching
I'm really tired today after staying up late last night.,I'm dead tired today 'cause I pull an all-nighter last night.,beat (exhausted)
"Hey, do you want to hang out at the mall later?","Yo, you tryna slide to the mall later?",You wanna hang out at the mall later?
"I'm really tired today, so I think I'll stay home and relax.","I'm mad wiped today, so I'm just chillin' at home and vibing.",exhausted
I'm just going to chill at home and watch some TV.,I'm just gonna vibe at home and binge some shows.,Chillin' at home and marathoning shows.
"I'm really tired after a long day, but I still want to hang out with my friends.","I'm mad drained after a long day, but I lowkey wanna chill with my crew.","burnt out, vibe (with friends)"
I'm going to grab a coffee before work.,"Hey, I'm 체크in a coffee before hustle kicks in.",gonnabrew
"Hey, I saw your new haircut today, and it looks really cool!","Yo, saw your new do today, and it’s mad sick!","lit (slang for ""great"" or ""impressive"")"
I'm just really tired after a long day.,I'm hella drained after a wild day.,exhausted
"I'm really tired today, so I just want to relax at home.","I'm totally drained today, just tryna chill at home.","exhausted, chilling"
